surface_composition,facet,adsorbate,reaction_energy_eV
Rh3Si,111,OH*,0.31615
Rh3Sn,111,OH*,0.55615
Pt3Zn,111,OH*,0.83615
Au3Pd,111,OH*,1.30615
Ni3Ga,111,OH*,0.53615
Sc3Hg,111,OH*,-2.69385
Hf3Sb,111,OH*,-2.18385
V3Al,111,OH*,-1.74385
Pb3Y,111,OH*,-1.32385
Ni3Si,111,OH*,0.07615
TaW15O47,1,OOH*,3.12919949
Ti3Zn,111,OH*,-2.48385
Ga3Ti,111,OH*,-0.30385
Li0.5CoO2,11-20,OOH*,3.451136305
Nb3Ge,111,OH*,-1.89385
Ag3Al,111,OH*,-0.55385
Pd3Y,111,OH*,-0.58385
Mn3Si,111,OH*,-0.58385
Ir3Nb,111,OH*,-0.58385
Co3Al,111,OH*,-0.23385
Ir3Y,111,OH*,-0.47385
Ru3Nb,111,OH*,-0.56385
LiCoO2,0001,OH*,-2.65967971
LiCoO2,10-14,OH*,0.975509785
Li0.5CoO2,10-14,OH*,1.183650625
IrO2-Anatase,001,OH*,0.185537563593
IrO2-sheets-SrIrO3,2ML,OOH*,3.1038837789
Li0.5CoO2,10-14,OOH*,4.113933425
IrO2-Rutile,100,OH*,0.14391836241
Hf3Au,111,OH*,-2.34385
Nb3Al,111,OH*,-1.76385
Bi3Y,111,OH*,-1.14385
Al3Ru,111,OH*,-1.14385
Ir3Ga,111,OH*,0.51615
Al3Hf,111,OH*,-0.66385
MoW15O48,1,OH*,2.15319344
Pd3Zr,111,OH*,-1.11385
LiCoO2,11-20,OH*,0.820322605
FeP,011,OH*,-0.378993572209
IrO2-Rutile,100,OOH*,3.16828373939
Ti3As,111,OH*,-2.36385
Ag3Zn,111,OH*,0.29615
Cd3Rh,111,OH*,0.30615
Sc3Zn,111,OH*,-2.71385
Sc3Si,111,OH*,-2.65385
Fe2P,100,OH*,-0.237338788895
La3Ge,111,OH*,-2.09385
V3Ir,111,OH*,-2.04385
La3Si,111,OH*,-2.06385
NbW15O47,1,OH*,1.24225245
NbW15HO48,1,OH*,1.99906416
NbW15O47,1,OH*,-0.20279792
Pd3Pb,111,OH*,0.68615
In3La,111,OH*,-1.00385
Sc3Bi,111,OH*,-2.65385
In3Y,111,OH*,-0.91385
Sc3Ga,111,OH*,-2.70385
Ru3Zr,111,OH*,-0.75385
