material,bandgap_eV,bandgap_known,sacrificial_agent,scavenger_strength,has_cocatalyst,wavelength_nm,light_power_W,irradiation_time_h,activity_value,logH2,source_paper
acetic acid,2.7,False,other,1,False,420.0,300.0,8.0,1500.0,3.1760912590556813,j.cattod.2016.02.010
PTCN/rGO,2.7,False,methanol,2,True,420.0,300.0,30.0,354.0,2.5490032620257876,j.gee.2021.03.011
PTCN,2.7,False,methanol,2,True,420.0,300.0,30.0,184.0,2.2648178230095364,j.gee.2021.03.011
BCN,2.7,False,methanol,2,True,420.0,300.0,30.0,107.0,2.0293837776852097,j.gee.2021.03.011
g-C3N4/Ti3C2,2.7,False,methanol,2,True,420.0,300.0,30.0,565.0,2.7520484478194387,j.gee.2021.03.011
Cu2O,2.0,True,none/unspecified,0,True,420.0,300.0,5.0,264.0,2.4216039268698313,j.ijhydene.2014.01.209
TiO2,3.2,True,TEOA,3,True,680.0,300.0,30.0,112.4,2.0507663112330423,j.pnsc.2017.04.011
TiO2,3.2,True,TEOA,3,True,680.0,300.0,30.0,63.5,1.8027737252919758,j.pnsc.2017.04.011
rTiO2,2.7,False,methanol,2,False,228.0,500.0,12.0,12.02,1.0799044676667207,j.jtice.2021.03.019
rTiO2,2.7,False,methanol,2,False,228.0,500.0,12.0,3.75,0.5740312677277188,j.jtice.2021.03.019
rTiO2,2.7,False,methanol,2,False,228.0,500.0,12.0,2.38,0.37657695705651195,j.jtice.2021.03.019
MoS2,1.8,True,ethanol,2,False,420.0,300.0,8.0,21.8,1.3384564936046048,j.ijhydene.2016.03.206
MoS2,1.8,True,ethanol,2,False,420.0,300.0,8.0,176.7,2.247236549506764,j.ijhydene.2016.03.206
ZCS,2.7,False,glycerol,2,True,420.0,300.0,9.0,113.0,2.0530784434834195,S1872-2067(20)63614-2
ZCS,2.7,False,glycerol,2,True,420.0,300.0,9.0,1220.0,3.0863598306747484,S1872-2067(20)63614-2
ZCS,2.7,False,glycerol,2,True,420.0,300.0,9.0,2253.0,3.3527611917238307,S1872-2067(20)63614-2
ZCS,2.7,False,glycerol,2,True,420.0,300.0,9.0,313.0,2.4955443375464483,S1872-2067(20)63614-2
lactic acid,2.7,False,none/unspecified,0,True,400.0,300.0,8.0,147.7,2.1693804953119495,j.apcatb.2018.01.038
NiS/CdS,2.7,False,none/unspecified,0,False,390.0,300.0,8.0,1512.4,3.179666668690498,j.apcatb.2018.01.038
Cu3P/ZnIn2S4,2.7,False,none/unspecified,0,False,420.0,300.0,8.0,2561.1,3.4084265361413357,j.ijhydene.2021.03.089
TiO2,3.2,True,none/unspecified,0,False,420.0,300.0,8.0,6915.7,3.8398361455084125,j.ijhydene.2021.03.089
TiO2,3.2,True,none/unspecified,0,False,420.0,300.0,8.0,415.7,2.618780024506215,j.ijhydene.2021.03.089
Cu3P/TiO2,2.7,False,none/unspecified,0,False,420.0,300.0,8.0,6315.8,3.8004283689183294,j.ijhydene.2021.03.089
Cu/TiO2,2.7,False,none/unspecified,0,False,420.0,300.0,8.0,4643.4,3.6668360970433427,j.ijhydene.2021.03.089
g-C3N4,2.7,True,TEOA,3,True,420.0,300.0,5.0,2744.0,3.438384107034714,j.cej.2019.123833
