material,n,median_rate,p25,p75,bandgap_eV,bandgap_known
Ni2P/Ni @ C/g-C3N4-550,5,10040.0,9700.0,18030.0,2.7,False
Bi,5,513.3,134.0,2000.0,2.7,False
Ni2O3,5,5600.0,3800.0,6300.0,2.7,False
ZnxCd1−xS,5,6030.0,2915.0,7160.0,2.7,False
CdS-DETA,5,7370.0,7270.0,14840.0,2.7,False
CdS-4,5,16820.0,15810.0,19610.0,2.7,False
K2La2Ti3O10,5,96.0,55.5,126.6,2.7,False
Ag/TiO2,5,470.0,182.5,3700.0,2.7,False
ZnO/CdS,5,3870.0,2200.0,4134.0,2.7,False
Mo2C,4,3900.0,1055.0,6800.0,2.7,False
LaNaTaO3,4,722.25,247.875,1115.0,2.7,False
PSYS CN-3,4,318.5,216.0,477.5,2.7,False
C/C3N4,4,559.835,452.575,647.74,2.7,False
CN-U,4,234.05,91.375,812.75,2.7,False
Mn0.2Cd0.8S,4,11165.0,5090.0,19720.0,2.7,False
Pt-CdS,4,8350.0,4332.75,11800.0,2.7,False
Ta3N5,4,11.445,0.35250000000000004,36.2025,2.1,True
Rh,4,21151.82,62.805,54465.0,0.0,True
P-MoS2 @ WO3,4,70.0,57.75,77.45,2.7,False
BaTiO3,4,71.42,42.63,108.175,3.2,True
Ru-CoP,4,140.59,23.555,327.0,2.7,False
SrTiO3:Ni,4,561.2,455.52500000000003,997.325,2.7,False
CIZS,4,2950.0,2100.0,3820.0,2.7,False
MZ-341/TiO2,4,802.0,628.5,1058.75,2.7,False
Bi2O3/MoS2,4,8.5,7.4750000000000005,9.325,2.7,False
Pt/TiO2–ZnO,4,1551.0,1213.75,1879.25,2.7,False
TiO2/g-C3N4,4,490.5,156.25,872.0,2.7,False
HTO,4,10395.0,8337.5,13127.5,2.7,False
LTO,4,272.205,11.955,1674.0,2.7,False
C5,4,3.152,2.601,3.567,2.7,False
BiPO4,4,304.5,227.6,507.0,2.7,False
TEA,4,1849.4,265.55,4527.5,2.7,False
HNO3,4,297.95,60.7,830.0,2.7,False
PdO,4,1323.5,412.75,2192.25,2.7,False
CN-,4,1769.45,782.5,2602.75,2.7,False
LaFeO3,4,628.0,109.25,1665.75,2.7,False
Pd/TiO2,4,15850.0,1585.225,34075.0,2.7,False
Ti3AlC2,4,6540.0,5302.25,7589.5,2.7,False
TiO2(B),4,7000.63,5742.5,8756.62,2.7,False
eda-BP(),4,89.7,17.05,232.425,2.7,False
Cd0.2Zn0.8S,4,3075.0,2490.0,3430.0,2.7,False
N719,4,218.5,172.0,244.0,2.7,False
Ni/g-C3N4,4,2679.5,1023.0,4079.5,2.7,False
N6R6TNR,4,4055.0,69.0,8324.75,2.7,False
Zr,4,273.5,79.0,514.75,2.7,False
Ni2P/CdS,4,56415.0,43725.0,343747.5,2.7,False
CaTiO3,4,194.195,101.80499999999999,508.0875,2.7,False
AgGaS2,4,449.0,112.0,1237.75,2.7,False
CuS/ZnS,4,4147.0,4147.0,4346.5,2.7,False
MoSx,4,4680.0,3515.75,5310.0,2.7,False
ZnMoS4,4,8920.0,4640.0,13882.5,2.7,False
NiCo2O4/CdS,4,9280.0,8250.0,10300.0,2.7,False
DHPE,4,34.4,24.45,302.30000000000007,2.7,False
Zn2GeO4,4,2716.5,424.795,7425.0,2.7,False
Ag:Zn-In-S-1.5,4,248.94,148.995,307.685,2.7,False
Zn0.83Cd0.17S,4,5720.0,5062.5,16015.0,2.7,False
Zn0.6Cd0.4S,4,3044.0,386.0,5680.0,2.7,False
ZnO/RGO,4,444.5,309.25,571.0,2.7,False
Cu(OH)2,4,8360.0,7124.5,10005.0,2.7,False
Cu-salphen,4,24220.0,17175.0,29820.0,2.7,False
(CuIn)0.05Zn1.9S2,4,127.0,99.775,155.25,2.7,False
α-Fe2O3,4,278.9,209.75,653.75,2.7,False
zincoxysulfide,4,950.0,560.5,1425.0,2.7,False
triethanolamine,4,448.0,224.25,1500.0,2.7,False
thiourea,4,8300.0,4750.0,44525.0,2.7,False
rTiO2,4,7.885,3.4074999999999998,12.0825,2.7,False
NaTaO3:La,4,274.5,191.5,368.375,2.7,False
fluorescein,4,2588.1,1533.1775,4883.0,2.7,False
Cd0.8Zn0.2S,4,2185.5,1062.4,4285.0,2.7,False
metal oxide,4,17999.7,16.15,98485.75,2.7,False
NH2-MIL-125(Ti),4,3410.0,839.5,6250.0,2.7,False
2-NTC/ZCS,4,35250.0,33900.0,36150.0,2.7,False
CoP,4,1138.4,836.1999999999999,12915.0,2.7,False
Ni(CH3COO)2,4,2647.0,913.5,4837.5,2.7,False
2Au–TiO2,4,1.475,1.0225,2.95,2.7,False
NCN,4,272.855,124.20750000000001,1117.5,2.7,False
g H2,4,602.95,42.425,1222.5,2.7,False
Cu0,4,8200.0,4885.75,12250.0,2.7,False
UCN,4,3087.0,780.565,5324.4349999999995,2.7,False
Xenon,4,796.0,583.0,1124.0,2.7,False
CNNS,4,463.02,367.2,712.03,2.7,False
FeS2–TiO2,4,65.65,29.225,158.5,2.7,False
VO,4,11.549999999999999,3.1500000000000004,33.4,2.7,False
NiSe2,4,8510.0,5524.7,37985.0,2.7,False
WO3−x,4,2021.05,1412.75,2481.425,2.7,False
Ga2BiSbO7,4,23.7965,19.55875,65.1235,2.7,False
CdS-LTO,4,620.0,395.0,840.0,2.7,False
TiO2/rGO,4,2479.415,207.32750000000001,4762.25,2.7,False
NiTiO3,4,41.5,18.0,6661.25,2.7,False
NiOx/InTaO4,4,1.745,1.5050000000000001,1.935,2.7,False
CNU,4,1451.0,1247.525,2394.175,2.7,False
Zn0.2Cd0.8S/P-C3N4-80,4,35.335,22.4125,51.7725,2.7,False
NixCo1-xO @ C,4,24500.0,21500.0,27750.0,2.7,False
Reduced graphene oxide,4,2088.0,835.75,3358.25,2.7,False
Zn0.3Cd0.7S,4,2110.05,811.85,25595.074999999997,2.7,False
EtOH,4,13000.0,9250.0,15975.0,2.7,False
ErB,4,2051.5,380.5,6082.25,2.7,False
CTF-1,4,2783.0,55.5,7162.5,2.7,False
CSCP,4,171.25,79.825,291.425,2.7,False
MT2,3,140.0,97.0,295.0,2.7,False
CNNS–Co,3,674.3,611.4649999999999,741.6099999999999,2.7,False
PbS,3,2000.0,1644.0,16000.0,2.7,False
C60,3,6.0,5.0,868.0,2.7,False
NaYF4:Yb/Tm @ Ag3PO4/Ag,3,22740.0,15895.0,23150.0,2.7,False
PbTiO3/CdS,3,400.6,249.75,624.8,2.7,False
Cd0.65Zn0.35S,3,4600.0,2791.0,4900.0,2.7,False
NZS4,3,5469.0,5338.0,5637.5,2.7,False
CdO,3,146.2,146.1,193.7,2.7,False
MCN-N2,3,339.75,267.22,1109.975,2.7,False
CdIn2S4/ZnIn2S4,3,1030.0,905.0,4690.0,2.7,False
CdIn2S4,3,870.0,775.0,4192.5,2.7,False
CdS-ZnO,3,71390.0,44395.0,85105.0,2.7,False
NaOH,3,3500.0,1912.7,15250.0,2.7,False
CNNP700,3,96.7,67.2,180.5,2.7,False
OLHP,3,90.0,84.72999999999999,114.15,2.7,False
MMT/Ni8.14,3,1430.0,1065.0,2430.0,2.7,False
OCN,3,90.0,75.0,187.5,2.7,False
MMT/g-C3N4,3,9360.0,7495.0,10930.0,2.7,False
OCH3,3,48000.0,39500.0,49000.0,2.7,False
NMN,3,406.8,337.5,430.95000000000005,2.7,False
